Waktu,Objek,Lat_Laptop,Lon_Laptop,Lat_Modul,Lon_Modul
2025-04-22 18:53:43,"person, person",-7.6298,111.5239,,
2025-04-22 18:53:43,"person, person, train",-7.6298,111.5239,,
2025-04-22 18:53:43,"person, person",-7.6298,111.5239,,
2025-04-22 18:53:44,"person, person, train",-7.6298,111.5239,,
2025-04-22 18:53:46,"person, person",-7.6298,111.5239,,
2025-04-22 18:53:47,"person, person, train",-7.6298,111.5239,,
2025-04-22 18:53:47,"person, person",-7.6298,111.5239,,
2025-04-22 18:53:47,"person, person",-7.6298,111.5239,,
