Waktu,Objek,Lat_Laptop,Lon_Laptop,Lat_Modul,Lon_Modul
2025-05-14 20:03:04,person,-7.2492,112.7508,,
2025-05-14 20:03:05,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:06,person,-7.2492,112.7508,,
2025-05-14 20:03:06,person,-7.2492,112.7508,,
2025-05-14 20:03:07,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:07,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:09,"person, person, person",-7.2492,112.7508,,
2025-05-14 20:03:10,"person, person, person, tie",-7.2492,112.7508,,
2025-05-14 20:03:10,tie,-7.2492,112.7508,,
2025-05-14 20:03:11,tie,-7.2492,112.7508,,
2025-05-14 20:03:11,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:12,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:12,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:13,"person, person, tie, person",-7.2492,112.7508,,
2025-05-14 20:03:13,"person, person",-7.2492,112.7508,,
2025-05-14 20:03:14,"person, person, tie",-7.2492,112.7508,,
2025-05-14 20:03:14,"tie, person, person",-7.2492,112.7508,,
2025-05-14 20:03:15,"person, person, person, tie",-7.2492,112.7508,,
2025-05-14 20:03:15,"person, person, tie, tie",-7.2492,112.7508,,
2025-05-14 20:03:16,"person, person, tie, tie",-7.2492,112.7508,,
2025-05-14 20:03:17,"tie, person, person",-7.2492,112.7508,,
2025-05-14 20:03:17,"person, tie",-7.2492,112.7508,,
2025-05-14 20:03:18,"person, tie",-7.2492,112.7508,,
2025-05-14 20:03:18,"person, tie, person",-7.2492,112.7508,,
2025-05-14 20:03:19,"tie, dog, person",-7.2492,112.7508,,
2025-05-14 20:03:19,"tie, dog",-7.2492,112.7508,,
2025-05-14 20:03:20,"tie, person, person",-7.2492,112.7508,,
2025-05-14 20:03:20,"tie, person",-7.2492,112.7508,,
2025-05-14 20:03:21,"person, tie",-7.2492,112.7508,,
