Waktu,Objek,Lat_Laptop,Lon_Laptop,Lat_Modul,Lon_Modul
2025-04-24 11:07:03,"person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:05,"person, person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:06,"person, person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:08,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:09,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:10,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:13,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:14,"person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:15,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:16,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:17,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:19,"person, person, person, person",,,,
2025-04-24 11:07:22,"person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:23,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:25,"person, person",-7.6298,111.5239,,
2025-04-24 11:07:26,"person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:27,"person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:27,"person, person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:28,"person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:29,"person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:29,"person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:29,"person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:30,"person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:30,"person, person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:31,"person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:31,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:32,"person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:33,"person, person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:34,"person, person, person, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:34,"person, person, person, chair, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:35,"person, person, person, chair, person, person, person",-7.6298,111.5239,,
2025-04-24 11:07:36,"person, person, person, person, person, person, chair, person, person",-7.6298,111.5239,,
