Waktu,Objek,Lat_Laptop,Lon_Laptop,Lat_Modul,Lon_Modul
2025-04-24 12:39:38,person,-7.2492,112.7508,,
2025-04-24 12:39:38,"person, motorcycle, motorcycle, motorcycle",-7.2492,112.7508,,
2025-04-24 12:39:39,"person, motorcycle, motorcycle",-7.2492,112.7508,,
2025-04-24 12:39:39,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:40,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:40,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:41,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:41,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:42,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:43,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:43,person,-7.2492,112.7508,,
2025-04-24 12:39:44,person,-7.2492,112.7508,,
2025-04-24 12:39:44,person,-7.2492,112.7508,,
2025-04-24 12:39:45,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:46,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:46,person,-7.2492,112.7508,,
2025-04-24 12:39:47,person,-7.2492,112.7508,,
2025-04-24 12:39:47,person,-7.2492,112.7508,,
2025-04-24 12:39:48,person,-7.2492,112.7508,,
2025-04-24 12:39:49,"person, chair",-7.2492,112.7508,,
2025-04-24 12:39:49,person,-7.2492,112.7508,,
2025-04-24 12:39:50,person,-7.2492,112.7508,,
2025-04-24 12:39:51,"person, chair",-7.2492,112.7508,,
2025-04-24 12:39:51,"person, chair",-7.2492,112.7508,,
2025-04-24 12:39:52,person,-7.2492,112.7508,,
2025-04-24 12:39:52,"person, person",-7.2492,112.7508,,
2025-04-24 12:39:53,,-7.2492,112.7508,,
2025-04-24 12:39:54,,-7.2492,112.7508,,
2025-04-24 12:39:54,person,-7.2492,112.7508,,
2025-04-24 12:39:55,person,-7.2492,112.7508,,
2025-04-24 12:39:55,person,-7.2492,112.7508,,
2025-04-24 12:39:56,person,-7.2492,112.7508,,
2025-04-24 12:39:56,person,-7.2492,112.7508,,
2025-04-24 12:39:57,person,-7.2492,112.7508,,
2025-04-24 12:39:58,"person, motorcycle, motorcycle",-7.2492,112.7508,,
2025-04-24 12:40:03,person,,,,
2025-04-24 12:40:03,person,-7.2492,112.7508,,
2025-04-24 12:40:04,person,-7.2492,112.7508,,
