Waktu,Objek,Lat_Laptop,Lon_Laptop,Lat_Modul,Lon_Modul
2025-04-24 12:28:39,person,-7.2492,112.7508,,
2025-04-24 12:28:40,person,-7.2492,112.7508,,
2025-04-24 12:28:41,person,-7.2492,112.7508,,
2025-04-24 12:28:42,person,-7.2492,112.7508,,
2025-04-24 12:28:43,person,-7.2492,112.7508,,
2025-04-24 12:28:44,"person, person",-7.2492,112.7508,,
2025-04-24 12:28:45,person,-7.2492,112.7508,,
2025-04-24 12:28:46,person,-7.2492,112.7508,,
2025-04-24 12:28:48,"person, person",-7.2492,112.7508,,
2025-04-24 12:28:49,"person, person",-7.2492,112.7508,,
2025-04-24 12:28:51,"person, person",-7.2492,112.7508,,
2025-04-24 12:28:52,"person, person",-7.2492,112.7508,,
2025-04-24 12:28:54,"person, person, cell phone",-7.2492,112.7508,,
2025-04-24 12:28:56,"person, cell phone, person",-7.2492,112.7508,,
2025-04-24 12:28:57,"person, cell phone, person",-7.2492,112.7508,,
2025-04-24 12:28:57,"person, cell phone",-7.2492,112.7508,,
2025-04-24 12:28:59,"person, cell phone, person",-7.2492,112.7508,,
2025-04-24 12:29:00,"person, cell phone, cell phone, cell phone",-7.2492,112.7508,,
2025-04-24 12:29:01,"person, cell phone, person",-7.2492,112.7508,,
2025-04-24 12:29:02,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:03,"person, person, cell phone, cell phone",-7.2492,112.7508,,
2025-04-24 12:29:05,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:06,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:07,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:08,person,-7.2492,112.7508,,
2025-04-24 12:29:09,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:10,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:11,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:12,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:13,"person, person, person",-7.2492,112.7508,,
2025-04-24 12:29:15,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:16,"person, person, person",-7.2492,112.7508,,
2025-04-24 12:29:17,"person, person, tie",-7.2492,112.7508,,
2025-04-24 12:29:17,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:18,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:18,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:19,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:20,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:20,"person, person, cell phone, person",-7.2492,112.7508,,
2025-04-24 12:29:21,"person, person, person",-7.2492,112.7508,,
2025-04-24 12:29:21,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:22,"person, person, cell phone",-7.2492,112.7508,,
2025-04-24 12:29:22,"person, person, cell phone",-7.2492,112.7508,,
2025-04-24 12:29:23,"person, person, cell phone",-7.2492,112.7508,,
2025-04-24 12:29:23,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:24,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:24,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:25,"person, person, cell phone",-7.2492,112.7508,,
2025-04-24 12:29:25,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:26,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:26,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:27,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:27,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:28,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:29,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:30,"person, person, person",-7.2492,112.7508,,
2025-04-24 12:29:30,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:31,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:31,"person, person",-7.2492,112.7508,,
2025-04-24 12:29:32,"person, person, cell phone, person, tie, cell phone",-7.2492,112.7508,,
2025-04-24 12:29:33,"person, person, cell phone, person",-7.2492,112.7508,,
2025-04-24 12:29:33,"person, person, cell phone, person",-7.2492,112.7508,,
2025-04-24 12:29:34,"person, cell phone, person, person, person",-7.2492,112.7508,,
2025-04-24 12:29:34,"person, person, person, cell phone, person, cell phone",-7.2492,112.7508,,
2025-04-24 12:29:35,"person, person, cell phone, person",-7.2492,112.7508,,
2025-04-24 12:29:35,"person, person, person, cell phone, cell phone",-7.2492,112.7508,,
2025-04-24 12:29:36,"person, cell phone, person, cell phone, person",-7.2492,112.7508,,
